,Year,Age,Female,Male,Total,X.30,X.31,X.37,X.38
255,1752,NA,NA,NA,NA,NA,NA,NA,NA
256,0,NA,NA,NA,NA,NA,NA,NA,NA
257,1753,NA,0,NA,26931.5,NA,27637,NA,54568.5
258,1753,NA,1,NA,26381.36,NA,26025.21,NA,52406.57
259,1753,NA,2,NA,26272.64,NA,25923.79,NA,52196.43
260,1753,NA,3,NA,25988.96,NA,25683.05,NA,51672.01
261,1753,NA,4,NA,21636.04,NA,21136.45,NA,42772.49
262,1753,NA,5,NA,18096.92,NA,17603.94,NA,35700.86
263,1753,NA,6,NA,18165.16,NA,17745.55,NA,35910.71
264,1753,NA,7,NA,18419.24,NA,18107.8,NA,36527.04
265,1753,NA,8,NA,18364.87,NA,18369.8,NA,36734.67
266,1753,NA,9,NA,18412.81,NA,18694.41,NA,37107.22
267,1753,10,NA,18762.87,NA,19232.83,NA,37995.7,NA
268,1753,11,NA,17990.16,NA,18204.64,NA,36194.8,NA
269,1753,12,NA,17494.11,NA,17420.91,NA,34915.02,NA
270,1753,13,NA,16930.25,NA,16697.86,NA,33628.11,NA
271,1753,14,NA,16279.61,NA,15972.26,NA,32251.87,NA
272,1753,15,NA,15713,NA,15412.81,NA,31125.81,NA
273,1753,16,NA,16225.72,NA,15508.85,NA,31734.57,NA
274,1753,17,NA,16880.95,NA,15677.04,NA,32557.99,NA
275,1753,18,NA,17337.36,NA,15848.3,NA,33185.66,NA
276,1753,19,NA,17447.96,NA,15657,NA,33104.96,NA
277,1753,20,NA,17612.48,NA,15068.22,NA,32680.7,NA
278,1753,21,NA,16995.02,NA,14506.82,NA,31501.84,NA
279,1753,22,NA,16466.85,NA,14062.7,NA,30529.55,NA
280,1753,23,NA,16023.83,NA,13642.91,NA,29666.74,NA
281,1753,24,NA,15650.32,NA,13490.35,NA,29140.67,NA
282,1753,25,NA,15380.41,NA,13658.68,NA,29039.09,NA
283,1753,26,NA,15413.78,NA,13855.92,NA,29269.7,NA
284,1753,27,NA,15426.57,NA,13963.4,NA,29389.97,NA
285,1753,28,NA,15476.82,NA,13971.19,NA,29448.01,NA
286,1753,29,NA,15482.43,NA,13810.31,NA,29292.74,NA
287,1753,30,NA,15447.46,NA,13724.49,NA,29171.95,NA
288,1753,31,NA,14567.15,NA,13071.14,NA,27638.29,NA
289,1753,32,NA,13614.82,NA,12269.3,NA,25884.12,NA
290,1753,33,NA,12682.46,NA,11436.97,NA,24119.43,NA
291,1753,34,NA,11721.61,NA,10663.09,NA,22384.7,NA
292,1753,35,NA,10855.33,NA,10019.43,NA,20874.76,NA
293,1753,36,NA,10842.74,NA,10011.1,NA,20853.84,NA
294,1753,37,NA,11051.75,NA,10161.31,NA,21213.06,NA
295,1753,38,NA,11426.02,NA,10408.54,NA,21834.56,NA
296,1753,39,NA,11806.65,NA,10617.61,NA,22424.26,NA
297,1753,40,NA,12255.91,NA,10774.34,NA,23030.25,NA
298,1753,41,NA,11369.66,NA,NA,9965.58,NA,21335.24
299,1753,42,NA,10372.59,NA,NA,9059.07,NA,19431.66
300,1753,43,NA,NA,9502.79,NA,NA,NA,NA
301,1753,44,NA,NA,8706.04,NA,NA,NA,NA
302,1753,45,NA,NA,7924.4,NA,NA,NA,NA
303,1753,46,NA,NA,8102.89,NA,NA,NA,NA
304,1753,47,NA,NA,8472.37,NA,NA,NA,NA
305,1753,48,NA,NA,9055.68,NA,NA,NA,NA
306,1753,49,NA,NA,9749.16,NA,NA,NA,NA
307,1753,50,NA,10627.74,NA,NA,8612.63,NA,19240.37
308,1753,51,NA,NA,9906.29,NA,NA,NA,NA
309,1753,52,NA,NA,8916.18,NA,NA,NA,NA
310,1753,53,NA,NA,7931.85,NA,NA,NA,NA
311,1753,54,NA,NA,7007.94,NA,NA,NA,NA
312,1753,55,NA,NA,6193.1,NA,NA,NA,NA
313,1753,56,NA,NA,6328.56,NA,NA,NA,NA
314,1753,57,NA,NA,6572.59,NA,NA,NA,NA
315,1753,58,NA,NA,6914.82,NA,NA,NA,NA
316,1753,59,NA,NA,7395.43,NA,NA,NA,NA
317,1753,60,NA,NA,8131.35,NA,NA,NA,NA
318,1753,61,NA,NA,7872.09,NA,NA,NA,NA
